well;ID;sample;dominant_family;percentage;reads_spikein;reads
I23-1331-K11_S2120_R1_001;I23-1331-K11;sample;0;0;1;286
I23-1331-K12_S2136_R1_001;I23-1331-K12;sample;Xanthomonadaceae;64,01;9027;102263
I23-1331-K13_S2152_R1_001;I23-1331-K13;sample;Pseudomonadaceae;61,8;5335;59053
I23-1331-K14_S2168_R1_001;I23-1331-K14;sample;Microbacteriaceae;20,45;9624;133168
I23-1331-K15_S2184_R1_001;I23-1331-K15;sample;Pseudomonadaceae;63,17;8791;113296
I23-1331-K16_S2200_R1_001;I23-1331-K16;sample;Micrococcaceae;47,48;952;12777
I23-1331-K17_S2216_R1_001;I23-1331-K17;sample;Rhizobiaceae;86,1;223;3384
I23-1331-K18_S2232_R1_001;I23-1331-K18;sample;Micrococcaceae;82,26;913;9528
I23-1331-K19_S2248_R1_001;I23-1331-K19;sample;Enterobacteriaceae;80,41;245;2823
I23-1331-K20_S2264_R1_001;I23-1331-K20;sample;Streptomycetaceae;67,86;28;381
I23-1331-K21_S2280_R1_001;I23-1331-K21;sample;Micrococcaceae;32,49;197;2547
I23-1331-K22_S2296_R1_001;I23-1331-K22;sample;Microbacteriaceae;19,92;2319;50232
I23-1331-K23_S2312_R1_001;I23-1331-K23;sample;Micrococcaceae;27,27;11;227
I23-1331-K24_S2328_R1_001;I23-1331-K24;sample;Comamonadaceae;46,66;5756;69259
I23-1331-L01_S1961_R1_001;I23-1331-L01;sample;Enterobacteriaceae;90,53;8702;90596
I23-1331-L02_S1977_R1_001;I23-1331-L02;sample;Rhizobiaceae;23,35;5833;66241
I23-1331-L03_S1993_R1_001;I23-1331-L03;sample;Bacillaceae;80,61;7051;80023
I23-1331-L04_S2009_R1_001;I23-1331-L04;sample;Microbacteriaceae;17,87;3017;33068
I23-1331-L05_S2025_R1_001;I23-1331-L05;sample;Bacillaceae;93,02;8036;90295
I23-1331-L06_S2041_R1_001;I23-1331-L06;sample;Micrococcaceae;26,48;3625;33053
I23-1331-L07_S2057_R1_001;I23-1331-L07;sample;0;0;3;323
I23-1331-L08_S2073_R1_001;I23-1331-L08;sample;Microbacteriaceae;14,69;4024;39233
I23-1331-L09_S2089_R1_001;I23-1331-L09;sample;Boseaceae;5,46;733;6553
I23-1331-L10_S2105_R1_001;I23-1331-L10;sample;Caulobacteraceae;68,5;1200;13598
I23-1331-L11_S2121_R1_001;I23-1331-L11;sample;Alcaligenaceae;26,94;5502;76761
I23-1331-L12_S2137_R1_001;I23-1331-L12;sample;Caulobacteraceae;69,15;911;8890
I23-1331-L13_S2153_R1_001;I23-1331-L13;sample;Bacillaceae;92;8203;110320
I23-1331-L14_S2169_R1_001;I23-1331-L14;sample;Microbacteriaceae;14,74;3039;30074
I23-1331-L15_S2185_R1_001;I23-1331-L15;sample;Microbacteriaceae;15,39;3930;36515
I23-1331-L16_S2201_R1_001;I23-1331-L16;sample;Pseudomonadaceae;59,99;4401;45391
I23-1331-L17_S2217_R1_001;I23-1331-L17;sample;Microbacteriaceae;23,05;11508;172226
I23-1331-L18_S2233_R1_001;I23-1331-L18;sample;Paenibacillaceae;3,12;3335;35423
I23-1331-L19_S2249_R1_001;I23-1331-L19;sample;Pseudomonadaceae;73,44;4962;56478
I23-1331-L20_S2265_R1_001;I23-1331-L20;sample;Rhizobiaceae;25,31;3362;40903
I23-1331-L21_S2281_R1_001;I23-1331-L21;sample;0;0;2;137
I23-1331-L22_S2297_R1_001;I23-1331-L22;sample;Micrococcaceae;26,89;2347;30147
I23-1331-L23_S2313_R1_001;I23-1331-L23;sample;Bacillaceae;20,64;528;4893
I23-1331-L24_S2329_R1_001;I23-1331-L24;sample;Pseudomonadaceae;85,14;3230;35508
I23-1331-M01_S1962_R1_001;I23-1331-M01;sample;Micrococcaceae;22,64;53;1210
I23-1331-M02_S1978_R1_001;I23-1331-M02;sample;Microbacteriaceae;84;9183;121151
I23-1331-M03_S1994_R1_001;I23-1331-M03;sample;Bacillaceae;89,72;7722;80293
I23-1331-M04_S2010_R1_001;I23-1331-M04;sample;Pseudomonadaceae;84,37;966;11457
I23-1331-M05_S2026_R1_001;I23-1331-M05;sample;Pseudomonadaceae;25;4;268
I23-1331-M06_S2042_R1_001;I23-1331-M06;sample;Intrasporangiaceae;2,3;9788;125214
I23-1331-M07_S2058_R1_001;I23-1331-M07;sample;Bacillaceae;77,87;4798;52231
I23-1331-M08_S2074_R1_001;I23-1331-M08;sample;Xanthomonadaceae;43,59;7362;84074
I23-1331-M09_S2090_R1_001;I23-1331-M09;sample;Micrococcaceae;27,89;606;6556
I23-1331-M10_S2106_R1_001;I23-1331-M10;sample;Pseudomonadaceae;63,59;3131;39082
I23-1331-M11_S2122_R1_001;I23-1331-M11;sample;Micrococcaceae;80,27;2250;22900
I23-1331-M12_S2138_R1_001;I23-1331-M12;sample;Microbacteriaceae;20,89;5377;53857
I23-1331-M13_S2154_R1_001;I23-1331-M13;sample;Enterobacteriaceae;83,9;205;2076
I23-1331-M14_S2170_R1_001;I23-1331-M14;sample;Xanthomonadaceae;70,58;2461;30152
I23-1331-M15_S2186_R1_001;I23-1331-M15;sample;Enterobacteriaceae;69,29;368;3471
I23-1331-M16_S2202_R1_001;I23-1331-M16;sample;Micrococcaceae;28,42;10692;124919
I23-1331-M17_S2218_R1_001;I23-1331-M17;sample;Enterobacteriaceae;74;250;2542
I23-1331-M18_S2234_R1_001;I23-1331-M18;sample;Microbacteriaceae;22,78;6976;74988
I23-1331-M19_S2250_R1_001;I23-1331-M19;sample;Streptomycetaceae;55,29;85;781
I23-1331-M20_S2266_R1_001;I23-1331-M20;sample;Microbacteriaceae;22,79;6313;89757
I23-1331-M21_S2282_R1_001;I23-1331-M21;sample;Streptomycetaceae;25,02;5320;60355
